"Step","layer_12_rank_768_adapter_and_sae_v4 - val_loss","layer_12_rank_768_adapter_and_sae_v4 - val_loss__MIN","layer_12_rank_768_adapter_and_sae_v4 - val_loss__MAX","layer_12_rank_16_adapter_and_sae_v4 - val_loss","layer_12_rank_16_adapter_and_sae_v4 - val_loss__MIN","layer_12_rank_16_adapter_and_sae_v4 - val_loss__MAX"
"0","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117"
"998","2.0005787194934324","2.0005787194934324","2.0005787194934324","2.0005787194934324","2.0005787194934324","2.0005787194934324"
"1998","1.9979509248826253","1.9979509248826253","1.9979509248826253","1.9979509248826253","1.9979509248826253","1.9979509248826253"
"2998","1.995653495146772","1.995653495146772","1.995653495146772","1.995653495146772","1.995653495146772","1.995653495146772"
"3998","1.9935039918156705","1.9935039918156705","1.9935039918156705","1.9935039918156705","1.9935039918156705","1.9935039918156705"
"4998","1.993112833192429","1.993112833192429","1.993112833192429","1.993112833192429","1.993112833192429","1.993112833192429"
"5998","1.9926019159651827","1.9926019159651827","1.9926019159651827","1.9926019159651827","1.9926019159651827","1.9926019159651827"
"6998","1.9922715685384667","1.9922715685384667","1.9922715685384667","1.9922715685384667","1.9922715685384667","1.9922715685384667"
"7998","1.99092457628787","1.99092457628787","1.99092457628787","1.99092457628787","1.99092457628787","1.99092457628787"
"8998","1.9901968243788306","1.9901968243788306","1.9901968243788306","1.9901968243788306","1.9901968243788306","1.9901968243788306"
"9998","1.990439008543899","1.990439008543899","1.990439008543899","1.990439008543899","1.990439008543899","1.990439008543899"
"10998","1.9897705119488305","1.9897705119488305","1.9897705119488305","1.9897705119488305","1.9897705119488305","1.9897705119488305"
"11998","1.9896775720795443","1.9896775720795443","1.9896775720795443","1.9896775720795443","1.9896775720795443","1.9896775720795443"
"12998","1.988750118621174","1.988750118621174","1.988750118621174","1.988750118621174","1.988750118621174","1.988750118621174"
"13998","1.9884728240259106","1.9884728240259106","1.9884728240259106","1.9884728240259106","1.9884728240259106","1.9884728240259106"
"14998","1.9888350125955097","1.9888350125955097","1.9888350125955097","1.9888350125955097","1.9888350125955097","1.9888350125955097"
"15998","1.9888784373550845","1.9888784373550845","1.9888784373550845","1.9883495266630316","1.9883495266630316","1.9883495266630316"
"16998","1.9882252137639018","1.9882252137639018","1.9882252137639018","1.9879526149409088","1.9879526149409088","1.9879526149409088"
"17998","1.9883664279657596","1.9883664279657596","1.9883664279657596","1.988065493692517","1.988065493692517","1.988065493692517"
"18998","1.987662250700358","1.987662250700358","1.987662250700358","1.9882230648852908","1.9882230648852908","1.9882230648852908"
"19998","1.987876317213111","1.987876317213111","1.987876317213111","1.9878951703391763","1.9878951703391763","1.9878951703391763"
"20998","1.987553403955887","1.987553403955887","1.987553403955887","1.9878649612166133","1.9878649612166133","1.9878649612166133"
"21998","1.987743398855262","1.987743398855262","1.987743398855262","1.9879296850889707","1.9879296850889707","1.9879296850889707"
"22998","1.9871869573451602","1.9871869573451602","1.9871869573451602","1.98761379901804","1.98761379901804","1.98761379901804"
"23998","1.98748656902977","1.98748656902977","1.98748656902977","1.9879937162784862","1.9879937162784862","1.9879937162784862"
"24998","1.98746965235307","1.98746965235307","1.98746965235307","1.9878648008880497","1.9878648008880497","1.9878648008880497"
"25998","1.9874812177894303","1.9874812177894303","1.9874812177894303","1.9876775634203376","1.9876775634203376","1.9876775634203376"
"26998","1.9874072124916553","1.9874072124916553","1.9874072124916553","1.9875579884498853","1.9875579884498853","1.9875579884498853"
"27998","1.987133509915097","1.987133509915097","1.987133509915097","1.9874351397995573","1.9874351397995573","1.9874351397995573"
"28998","1.9868487243520567","1.9868487243520567","1.9868487243520567","1.9875132764252084","1.9875132764252084","1.9875132764252084"
"29998","1.9871504796686046","1.9871504796686046","1.9871504796686046","1.9876080051049239","1.9876080051049239","1.9876080051049239"
