"Step","layer_12_rank_768_mlp_adapter_only_v4 - val_loss","layer_12_rank_768_mlp_adapter_only_v4 - val_loss__MIN","layer_12_rank_768_mlp_adapter_only_v4 - val_loss__MAX","layer_12_rank_768_adapter_only_v4 - val_loss","layer_12_rank_768_adapter_only_v4 - val_loss__MIN","layer_12_rank_768_adapter_only_v4 - val_loss__MAX","layer_12_rank_16_mlp_adapter_only_v4 - val_loss","layer_12_rank_16_mlp_adapter_only_v4 - val_loss__MIN","layer_12_rank_16_mlp_adapter_only_v4 - val_loss__MAX","layer_12_rank_16_adapter_only_v4 - val_loss","layer_12_rank_16_adapter_only_v4 - val_loss__MIN","layer_12_rank_16_adapter_only_v4 - val_loss__MAX","layer_12_rank_16_sae_full_finetune_v4 - val_loss","layer_12_rank_16_sae_full_finetune_v4 - val_loss__MIN","layer_12_rank_16_sae_full_finetune_v4 - val_loss__MAX"
"0","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0240583562558117","2.0238173065922522","2.0238173065922522","2.0238173065922522"
"998","2.0043699858498547","2.0043699858498547","2.0043699858498547","2.0024132031257222","2.0024132031257222","2.0024132031257222","2.0077618207389767","2.0077618207389767","2.0077618207389767","2.007695903004497","2.007695903004497","2.007695903004497","1.9988888672942882","1.9988888672942882","1.9988888672942882"
"1998","2.003437245331377","2.003437245331377","2.003437245331377","2.001415825976076","2.001415825976076","2.001415825976076","2.0071557785861933","2.0071557785861933","2.0071557785861933","2.007163335442421","2.007163335442421","2.007163335442421","1.9975281991636498","1.9975281991636498","1.9975281991636498"
"2998","2.001015619526378","2.001015619526378","2.001015619526378","1.9998016800948761","1.9998016800948761","1.9998016800948761","2.005304260837141","2.005304260837141","2.005304260837141","2.0053835217149865","2.0053835217149865","2.0053835217149865","1.995398388060235","1.995398388060235","1.995398388060235"
"3998","1.999645579800757","1.999645579800757","1.999645579800757","1.9981912027361937","1.9981912027361937","1.9981912027361937","2.0048120415930617","2.0048120415930617","2.0048120415930617","2.0047145477946975","2.0047145477946975","2.0047145477946975","1.9933665928601487","1.9933665928601487","1.9933665928601487"
"4998","1.9999942702061078","1.9999942702061078","1.9999942702061078","1.9982385133891658","1.9982385133891658","1.9982385133891658","2.0047595735216093","2.0047595735216093","2.0047595735216093","2.0043637036911175","2.0043637036911175","2.0043637036911175","1.9927121437437825","1.9927121437437825","1.9927121437437825"
"5998","1.9985765969130986","1.9985765969130986","1.9985765969130986","1.9972357225271673","1.9972357225271673","1.9972357225271673","2.0038828560005313","2.0038828560005313","2.0038828560005313","2.0034436042379578","2.0034436042379578","2.0034436042379578","1.992470151448323","1.992470151448323","1.992470151448323"
"6998","1.9987451232199538","1.9987451232199538","1.9987451232199538","1.997653667306949","1.997653667306949","1.997653667306949","2.003663982193204","2.003663982193204","2.003663982193204","2.0031110582112532","2.0031110582112532","2.0031110582112532","1.9924760429739585","1.9924760429739585","1.9924760429739585"
"7998","1.9979586670196166","1.9979586670196166","1.9979586670196166","1.9965947999436877","1.9965947999436877","1.9965947999436877","2.0036236523605786","2.0036236523605786","2.0036236523605786","2.002710782944729","2.002710782944729","2.002710782944729","1.9903981084101277","1.9903981084101277","1.9903981084101277"
"8998","1.9971401361384435","1.9971401361384435","1.9971401361384435","1.996301417951086","1.996301417951086","1.996301417951086","2.0028483474144796","2.0028483474144796","2.0028483474144796","2.0020540757457455","2.0020540757457455","2.0020540757457455","1.9902575313739914","1.9902575313739914","1.9902575313739914"
"9998","1.9979536657201598","1.9979536657201598","1.9979536657201598","1.996397915247641","1.996397915247641","1.996397915247641","2.002411864064977","2.002411864064977","2.002411864064977","2.0016180719787533","2.0016180719787533","2.0016180719787533","1.9894800315493815","1.9894800315493815","1.9894800315493815"
"10998","1.9968552203236973","1.9968552203236973","1.9968552203236973","1.9953111890272572","1.9953111890272572","1.9953111890272572","2.002495891667193","2.002495891667193","2.002495891667193","2.001888937752469","2.001888937752469","2.001888937752469","1.9877576859726998","1.9877576859726998","1.9877576859726998"
"11998","1.9969682321943794","1.9969682321943794","1.9969682321943794","1.9957968770786587","1.9957968770786587","1.9957968770786587","2.002247814695325","2.002247814695325","2.002247814695325","2.0015481141230955","2.0015481141230955","2.0015481141230955","1.9891631584938618","1.9891631584938618","1.9891631584938618"
"12998","1.995978282259333","1.995978282259333","1.995978282259333","1.9949087107071735","1.9949087107071735","1.9949087107071735","2.001889659047981","2.001889659047981","2.001889659047981","2.001256514718125","2.001256514718125","2.001256514718125","1.988861849815599","1.988861849815599","1.988861849815599"
