"Step","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MAX"
"0","7.878480441738664","7.878480441738664","7.878480441738664","10.8757698518837","10.8757698518837","10.8757698518837","5.964402938938433","5.964402938938433","5.964402938938433","12.577917582669057","12.577917582669057","12.577917582669057","7.878480441738664","7.878480441738664","7.878480441738664","5.964402938938433","5.964402938938433","5.964402938938433","10.8757698518837","10.8757698518837","10.8757698518837","12.577917582669057","12.577917582669057","12.577917582669057"
"9999","2.2554277169728842","2.2554277169728842","2.2554277169728842","2.352649726362531","2.352649726362531","2.352649726362531","2.1883896358974635","2.1883896358974635","2.1883896358974635","2.5411701996104377","2.5411701996104377","2.5411701996104377","2.3999390698809218","2.3999390698809218","2.3999390698809218","2.262245733942932","2.262245733942932","2.262245733942932","2.62903955594056","2.62903955594056","2.62903955594056","3.2224354229051477","3.2224354229051477","3.2224354229051477"
"19999","2.225193986476627","2.225193986476627","2.225193986476627","2.2998731876346934","2.2998731876346934","2.2998731876346934","2.1751477939201598","2.1751477939201598","2.1751477939201598","2.413513480488329","2.413513480488329","2.413513480488329","2.2557654040069637","2.2557654040069637","2.2557654040069637","2.1928510450230894","2.1928510450230894","2.1928510450230894","2.381792534672738","2.381792534672738","2.381792534672738","2.748013481757048","2.748013481757048","2.748013481757048"
"29999","2.2146485767564608","2.2146485767564608","2.2146485767564608","2.2729543312362175","2.2729543312362175","2.2729543312362175","2.1687194905115126","2.1687194905115126","2.1687194905115126","2.3684310985990287","2.3684310985990287","2.3684310985990287","2.2192999143134364","2.2192999143134364","2.2192999143134364","2.1725677354003903","2.1725677354003903","2.1725677354003903","2.308400652120643","2.308400652120643","2.308400652120643","2.5877919358753254","2.5877919358753254","2.5877919358753254"
"39999","2.2020440876727947","2.2020440876727947","2.2020440876727947","2.2557938942340647","2.2557938942340647","2.2557938942340647","2.1633313087443367","2.1633313087443367","2.1633313087443367","2.336145781750811","2.336145781750811","2.336145781750811","2.1955855274334657","2.1955855274334657","2.1955855274334657","2.1585798826346987","2.1585798826346987","2.1585798826346987","2.2721001090998536","2.2721001090998536","2.2721001090998536","2.5169719404549533","2.5169719404549533","2.5169719404549533"
"49999","2.196518653338373","2.196518653338373","2.196518653338373","2.240883932295451","2.240883932295451","2.240883932295451","2.1583330845698607","2.1583330845698607","2.1583330845698607","2.3108709751339505","2.3108709751339505","2.3108709751339505","2.186261816211464","2.186261816211464","2.186261816211464","2.151707408921135","2.151707408921135","2.151707408921135","2.250938552306887","2.250938552306887","2.250938552306887","2.4660883992452827","2.4660883992452827","2.4660883992452827"
"59999","2.1887449897604565","2.1887449897604565","2.1887449897604565","2.228007805750094","2.228007805750094","2.228007805750094","2.1566930318073947","2.1566930318073947","2.1566930318073947","2.2907576459396095","2.2907576459396095","2.2907576459396095","2.1777962816225225","2.1777962816225225","2.1777962816225225","2.1447657917148626","2.1447657917148626","2.1447657917148626","2.2360928058624268","2.2360928058624268","2.2360928058624268","2.4375789096557985","2.4375789096557985","2.4375789096557985"
"69999","2.1842739621716856","2.1842739621716856","2.1842739621716856","2.2207871699284385","2.2207871699284385","2.2207871699284385","2.1529175156885674","2.1529175156885674","2.1529175156885674","2.2812508728999563","2.2812508728999563","2.2812508728999563","2.1758269259788117","2.1758269259788117","2.1758269259788117","2.141812936462912","2.141812936462912","2.141812936462912","2.2327747197941847","2.2327747197941847","2.2327747197941847","2.4206570483584","2.4206570483584","2.4206570483584"
"79999","2.1805040809185745","2.1805040809185745","2.1805040809185745","2.212897131057454","2.212897131057454","2.212897131057454","2.1546363514240836","2.1546363514240836","2.1546363514240836","2.271428654174356","2.271428654174356","2.271428654174356","2.1693876440290785","2.1693876440290785","2.1693876440290785","2.137111540735073","2.137111540735073","2.137111540735073","2.2230902484397927","2.2230902484397927","2.2230902484397927","2.4026884733410427","2.4026884733410427","2.4026884733410427"
"89999","2.177307913161837","2.177307913161837","2.177307913161837","2.208173086449214","2.208173086449214","2.208173086449214","2.1494807755934913","2.1494807755934913","2.1494807755934913","2.2664704663543644","2.2664704663543644","2.2664704663543644","2.165042365738167","2.165042365738167","2.165042365738167","2.1346962747212688","2.1346962747212688","2.1346962747212688","2.21528380145314","2.21528380145314","2.21528380145314","2.387988363281121","2.387988363281121","2.387988363281121"
