"Step","layer_12_rank_16_lora_trainer_2_all - val_loss","layer_12_rank_16_lora_trainer_2_all - val_loss__MIN","layer_12_rank_16_lora_trainer_2_all - val_loss__MAX","layer_12_rank_16_lora_trainer_2_after - val_loss","layer_12_rank_16_lora_trainer_2_after - val_loss__MIN","layer_12_rank_16_lora_trainer_2_after - val_loss__MAX","layer_12_rank_16_sae_full_finetune_trainer_2 - val_loss","layer_12_rank_16_sae_full_finetune_trainer_2 - val_loss__MIN","layer_12_rank_16_sae_full_finetune_trainer_2 - val_loss__MAX"
"0","2.029816881111969","2.029816881111969","2.029816881111969","2.029816881111969","2.029816881111969","2.029816881111969","2.029816881111969","2.029816881111969","2.029816881111969"
"1000","2.0119978007665065","2.0119978007665065","2.0119978007665065","2.015838790513354","2.015838790513354","2.015838790513354","2.0180028820355083","2.0180028820355083","2.0180028820355083"
"2000","2.0108033513827603","2.0108033513827603","2.0108033513827603","2.0150574478668712","2.0150574478668712","2.0150574478668712","2.016132050978369","2.016132050978369","2.016132050978369"
"3000","2.009053462603441","2.009053462603441","2.009053462603441","2.0136255834217325","2.0136255834217325","2.0136255834217325","2.015016793899673","2.015016793899673","2.015016793899673"
"4000","2.0090422986595757","2.0090422986595757","2.0090422986595757","2.013475268560642","2.013475268560642","2.013475268560642","2.014669363244895","2.014669363244895","2.014669363244895"
"5000","2.0080433187123576","2.0080433187123576","2.0080433187123576","2.0127328637312476","2.0127328637312476","2.0127328637312476","2.012582954755215","2.012582954755215","2.012582954755215"
"6000","2.0075643823969207","2.0075643823969207","2.0075643823969207","2.012198770058436","2.012198770058436","2.012198770058436","2.012422118118622","2.012422118118622","2.012422118118622"
"7000","2.0073565041518626","2.0073565041518626","2.0073565041518626","2.012428763395932","2.012428763395932","2.012428763395932","2.011970777045497","2.011970777045497","2.011970777045497"
"8000","2.006969873407358","2.006969873407358","2.006969873407358","2.011838895637645","2.011838895637645","2.011838895637645","2.0102492992441143","2.0102492992441143","2.0102492992441143"
"9000","2.0064744807802666","2.0064744807802666","2.0064744807802666","2.0116174695069615","2.0116174695069615","2.0116174695069615","2.0098410116369427","2.0098410116369427","2.0098410116369427"
"10000","2.0061618183017873","2.0061618183017873","2.0061618183017873","2.0112754649491245","2.0112754649491245","2.0112754649491245","2.0090820351911054","2.0090820351911054","2.0090820351911054"
"11000","2.005913284686351","2.005913284686351","2.005913284686351","2.0111074514130367","2.0111074514130367","2.0111074514130367","2.0089798573339728","2.0089798573339728","2.0089798573339728"
"12000","2.0060179215858756","2.0060179215858756","2.0060179215858756","2.0111080042049365","2.0111080042049365","2.0111080042049365","2.0079147602787035","2.0079147602787035","2.0079147602787035"
"13000","2.005996652122896","2.005996652122896","2.005996652122896","2.0110197895136923","2.0110197895136923","2.0110197895136923","2.0082961527083523","2.0082961527083523","2.0082961527083523"
"14000","2.005636569665423","2.005636569665423","2.005636569665423","2.0108522610508186","2.0108522610508186","2.0108522610508186","2.0074676062946066","2.0074676062946066","2.0074676062946066"
"15000","2.005497183990088","2.005497183990088","2.005497183990088","2.0107101805378496","2.0107101805378496","2.0107101805378496","2.0073699504594598","2.0073699504594598","2.0073699504594598"
