"Step","layer_12_rank_16_sae_full_finetune_trainer_2_kl_only - mse_loss","layer_12_rank_16_sae_full_finetune_trainer_2_kl_only - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_trainer_2_kl_only - mse_loss__MAX","layer_12_rank_16_sae_full_finetune_trainer_2 - mse_loss","layer_12_rank_16_sae_full_finetune_trainer_2 - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_trainer_2 - mse_loss__MAX"
"0","1.109375","1.109375","1.109375","1.109375","1.109375","1.109375"
"100","1.3828125","1.3828125","1.3828125","1.375","1.375","1.375"
"200","1.234375","1.234375","1.234375","1.234375","1.234375","1.234375"
"300","1.2421875","1.2421875","1.2421875","1.234375","1.234375","1.234375"
"400","1.3046875","1.3046875","1.3046875","1.296875","1.296875","1.296875"
"500","1.3203125","1.3203125","1.3203125","1.3125","1.3125","1.3125"
"600","1.5234375","1.5234375","1.5234375","1.5","1.5","1.5"
"700","1.21875","1.21875","1.21875","1.2109375","1.2109375","1.2109375"
"800","1.2734375","1.2734375","1.2734375","1.2578125","1.2578125","1.2578125"
"900","1.390625","1.390625","1.390625","1.3671875","1.3671875","1.3671875"
"1000","1.21875","1.21875","1.21875","1.1875","1.1875","1.1875"
"1100","1.1953125","1.1953125","1.1953125","1.171875","1.171875","1.171875"
"1200","1.21875","1.21875","1.21875","1.1953125","1.1953125","1.1953125"
"1300","1.1796875","1.1796875","1.1796875","1.1484375","1.1484375","1.1484375"
"1400","1.3125","1.3125","1.3125","1.2890625","1.2890625","1.2890625"
"1500","1.2890625","1.2890625","1.2890625","1.265625","1.265625","1.265625"
"1600","1.3203125","1.3203125","1.3203125","1.28125","1.28125","1.28125"
"1700","1.3203125","1.3203125","1.3203125","1.28125","1.28125","1.28125"
"1800","1.375","1.375","1.375","1.34375","1.34375","1.34375"
"1900","1.375","1.375","1.375","1.3359375","1.3359375","1.3359375"
"2000","1.3359375","1.3359375","1.3359375","1.296875","1.296875","1.296875"
"2100","1.1875","1.1875","1.1875","1.1484375","1.1484375","1.1484375"
"2200","1.296875","1.296875","1.296875","1.2578125","1.2578125","1.2578125"
"2300","1.484375","1.484375","1.484375","1.421875","1.421875","1.421875"
"2400","1.3203125","1.3203125","1.3203125","1.2734375","1.2734375","1.2734375"
"2500","1.4296875","1.4296875","1.4296875","1.359375","1.359375","1.359375"
"2600","1.2265625","1.2265625","1.2265625","1.15625","1.15625","1.15625"
"2700","1.21875","1.21875","1.21875","1.1640625","1.1640625","1.1640625"
"2800","1.28125","1.28125","1.28125","1.2265625","1.2265625","1.2265625"
"2900","1.3125","1.3125","1.3125","1.265625","1.265625","1.265625"
"3000","1.390625","1.390625","1.390625","1.328125","1.328125","1.328125"
"3100","1.4453125","1.4453125","1.4453125","1.390625","1.390625","1.390625"
"3200","1.390625","1.390625","1.390625","1.3203125","1.3203125","1.3203125"
"3300","1.296875","1.296875","1.296875","1.2265625","1.2265625","1.2265625"
"3400","1.234375","1.234375","1.234375","1.171875","1.171875","1.171875"
