"Step","layer_12_rank_16_sae_full_finetune - mse_loss","layer_12_rank_16_sae_full_finetune - mse_loss__MIN","layer_12_rank_16_sae_full_finetune - mse_loss__MAX","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MAX"
"0","1.45703125","1.328125","1.5859375","1.3046875","1.3046875","1.3046875"
"100","1.734375","1.6484375","1.8203125","1.5703125","1.5703125","1.5703125"
"200","1.5546875","1.390625","1.71875","1.4296875","1.4296875","1.4296875"
"300","1.640625","1.5234375","1.7578125","1.5","1.5","1.5"
"400","1.71484375","1.6171875","1.8125","1.5390625","1.5390625","1.5390625"
"500","1.68359375","1.53125","1.8359375","1.5390625","1.5390625","1.5390625"
"600","1.9140625","1.796875","2.03125","1.75","1.75","1.75"
"700","1.57421875","1.4453125","1.703125","1.453125","1.453125","1.453125"
"800","1.59765625","1.4296875","1.765625","1.484375","1.484375","1.484375"
"900","1.7578125","1.59375","1.921875","1.6328125","1.6328125","1.6328125"
"1000","1.55078125","1.4140625","1.6875","1.4296875","1.4296875","1.4296875"
"1100","1.59375","1.5","1.6875","1.4609375","1.4609375","1.4609375"
"1200","1.54296875","1.3984375","1.6875","1.453125","1.453125","1.453125"
"1300","1.55859375","1.453125","1.6640625","1.4296875","1.4296875","1.4296875"
"1400","1.671875","1.5234375","1.8203125","1.5703125","1.5703125","1.5703125"
"1500","1.62890625","1.4765625","1.78125","1.5390625","1.5390625","1.5390625"
"1600","1.640625","1.484375","1.796875","1.578125","1.578125","1.578125"
"1700","1.74609375","1.6875","1.8046875","1.5859375","1.5859375","1.5859375"
"1800","1.74609375","1.59375","1.8984375","1.6484375","1.6484375","1.6484375"
"1900","1.671875","1.546875","1.796875","1.5859375","1.5859375","1.5859375"
"2000","1.6640625","1.4921875","1.8359375","1.5859375","1.5859375","1.5859375"
"2100","1.48828125","1.34375","1.6328125","1.421875","1.421875","1.421875"
"2200","1.6484375","1.5","1.796875","1.5546875","1.5546875","1.5546875"
"2300","1.84375","1.6875","2","1.7578125","1.7578125","1.7578125"
"2400","1.65234375","1.5234375","1.78125","1.5625","1.5625","1.5625"
"2500","1.79296875","1.671875","1.9140625","1.7109375","1.7109375","1.7109375"
"2600","1.53125","1.4140625","1.6484375","1.484375","1.484375","1.484375"
"2700","1.515625","1.3984375","1.6328125","1.4453125","1.4453125","1.4453125"
"2800","1.6015625","1.453125","1.75","1.5546875","1.5546875","1.5546875"
"2900","1.61328125","1.4765625","1.75","1.5546875","1.5546875","1.5546875"
"3000","1.69921875","1.53125","1.8671875","1.671875","1.671875","1.671875"
"3100","1.78125","1.625","1.9375","1.7109375","1.7109375","1.7109375"
"3200","1.65234375","1.515625","1.7890625","1.6171875","1.6171875","1.6171875"
"3300","1.61328125","1.4921875","1.734375","1.5625","1.5625","1.5625"
"3400","1.55078125","1.4296875","1.671875","1.4921875","1.4921875","1.4921875"
"3500","1.7734375","1.625","1.921875","1.6953125","1.6953125","1.6953125"
"3600","1.66796875","1.5234375","1.8125","1.6875","1.6875","1.6875"
"3700","1.765625","1.625","1.90625","1.6953125","1.6953125","1.6953125"
"3800","1.43359375","1.3203125","1.546875","1.4375","1.4375","1.4375"
"3900","1.7265625","1.59375","1.859375","1.6875","1.6875","1.6875"
"4000","1.75390625","1.59375","1.9140625","1.7109375","1.7109375","1.7109375"
"4100","0.8828125","0.84375","0.921875","0.90234375","0.90234375","0.90234375"
"4200","1.734375","1.6328125","1.8359375","1.6640625","1.6640625","1.6640625"
"4300","1.6328125","1.5078125","1.7578125","1.6171875","1.6171875","1.6171875"
"4400","1.515625","1.4140625","1.6171875","1.5","1.5","1.5"
"4500","1.765625","1.5859375","1.9453125","1.7734375","1.7734375","1.7734375"
"4600","1.59375","1.484375","1.703125","1.5859375","1.5859375","1.5859375"
"4700","1.5234375","1.4140625","1.6328125","1.5078125","1.5078125","1.5078125"
"4800","1.75390625","1.6015625","1.90625","1.7421875","1.7421875","1.7421875"
"4900","1.51953125","1.4296875","1.609375","1.484375","1.484375","1.484375"
"5000","1.5","1.375","1.625","1.5234375","1.5234375","1.5234375"
