"Step","layer_12_rank_16_lora_trainer_2_25M_after - val_loss","layer_12_rank_16_lora_trainer_2_25M_after - val_loss__MIN","layer_12_rank_16_lora_trainer_2_25M_after - val_loss__MAX","layer_12_rank_16_lora_trainer_2_25M_all - val_loss","layer_12_rank_16_lora_trainer_2_25M_all - val_loss__MIN","layer_12_rank_16_lora_trainer_2_25M_all - val_loss__MAX","layer_12_rank_16_sae_full_finetune_trainer_2_25M - val_loss","layer_12_rank_16_sae_full_finetune_trainer_2_25M - val_loss__MIN","layer_12_rank_16_sae_full_finetune_trainer_2_25M - val_loss__MAX"
"0","2.1033091731788924","2.1033091731788924","2.1033091731788924","2.1033091731788924","2.1033091731788924","2.1033091731788924","2.1033091731788924","2.1033091731788924","2.1033091731788924"
"1000","2.089138884688351","2.089138884688351","2.089138884688351","2.085084243342967","2.085084243342967","2.085084243342967","2.0901966863059216","2.0901966863059216","2.0901966863059216"
"2000","2.087850695378705","2.087850695378705","2.087850695378705","2.083490270370105","2.083490270370105","2.083490270370105","2.090523976264493","2.090523976264493","2.090523976264493"
"3000","2.0875134739563435","2.0875134739563435","2.0875134739563435","2.0831325429366823","2.0831325429366823","2.0831325429366823","2.089930084369078","2.089930084369078","2.089930084369078"
"4000","2.0866140628666328","2.0866140628666328","2.0866140628666328","2.0823546230731993","2.0823546230731993","2.0823546230731993","2.087881351749631","2.087881351749631","2.087881351749631"
"5000","2.0859505701943575","2.0859505701943575","2.0859505701943575","2.0814175208612986","2.0814175208612986","2.0814175208612986","2.088175567414158","2.088175567414158","2.088175567414158"
"6000","2.0855607249475674","2.0855607249475674","2.0855607249475674","2.080814818154826","2.080814818154826","2.080814818154826","2.086132305854419","2.086132305854419","2.086132305854419"
"7000","2.0848343267411513","2.0848343267411513","2.0848343267411513","2.0799621091650353","2.0799621091650353","2.0799621091650353","2.08512153498592","2.08512153498592","2.08512153498592"
"8000","2.0849710511941626","2.0849710511941626","2.0849710511941626","2.0803471071571265","2.0803471071571265","2.0803471071571265","2.085413808405338","2.085413808405338","2.085413808405338"
"9000","2.0846577944994706","2.0846577944994706","2.0846577944994706","2.0799125200528326","2.0799125200528326","2.0799125200528326","2.0837913826641796","2.0837913826641796","2.0837913826641796"
"10000","2.084109720944626","2.084109720944626","2.084109720944626","2.079156580271472","2.079156580271472","2.079156580271472","2.082860332001439","2.082860332001439","2.082860332001439"
"11000","2.0838684082153267","2.0838684082153267","2.0838684082153267","2.079178128784242","2.079178128784242","2.079178128784242","2.0824542680684717","2.0824542680684717","2.0824542680684717"
"12000","2.083701894922657","2.083701894922657","2.083701894922657","2.0786398635793977","2.0786398635793977","2.0786398635793977","2.0815579793592316","2.0815579793592316","2.0815579793592316"
"13000","2.083839273196526","2.083839273196526","2.083839273196526","2.0791239933079315","2.0791239933079315","2.0791239933079315","2.0815246626810993","2.0815246626810993","2.0815246626810993"
"14000","2.08313255757856","2.08313255757856","2.08313255757856","2.078495280952512","2.078495280952512","2.078495280952512","2.0810060189348647","2.0810060189348647","2.0810060189348647"
"15000","2.0837081239435786","2.0837081239435786","2.0837081239435786","2.079180151315648","2.079180151315648","2.079180151315648","2.081322334683905","2.081322334683905","2.081322334683905"
"16000","2.0831128490617843","2.0831128490617843","2.0831128490617843","2.0783656232798724","2.0783656232798724","2.0783656232798724","2.080221994262391","2.080221994262391","2.080221994262391"
"17000","2.08325051828197","2.08325051828197","2.08325051828197","2.0782653168987717","2.0782653168987717","2.0782653168987717","2.0793706223200874","2.0793706223200874","2.0793706223200874"
"18000","2.0827495492956656","2.0827495492956656","2.0827495492956656","2.077607098596977","2.077607098596977","2.077607098596977","2.0787790163268576","2.0787790163268576","2.0787790163268576"
"19000","2.0826502566815885","2.0826502566815885","2.0826502566815885","2.077657183946826","2.077657183946826","2.077657183946826","2.0783020903412615","2.0783020903412615","2.0783020903412615"
"20000","2.0824182350779505","2.0824182350779505","2.0824182350779505","2.0775613640201493","2.0775613640201493","2.0775613640201493","2.0778683373359477","2.0778683373359477","2.0778683373359477"
"21000","2.082389347628903","2.082389347628903","2.082389347628903","2.0773814862313755","2.0773814862313755","2.0773814862313755","2.077420990323093","2.077420990323093","2.077420990323093"
"22000","2.082273883670721","2.082273883670721","2.082273883670721","2.077357410591481","2.077357410591481","2.077357410591481","2.077289449399911","2.077289449399911","2.077289449399911"
"23000","2.0823117284716215","2.0823117284716215","2.0823117284716215","2.077386678363308","2.077386678363308","2.077386678363308","2.0772256135574505","2.0772256135574505","2.0772256135574505"
"24000","2.0823381208836604","2.0823381208836604","2.0823381208836604","2.0771901375683695","2.0771901375683695","2.0771901375683695","2.076861970805341","2.076861970805341","2.076861970805341"
"25000","2.0822955213769307","2.0822955213769307","2.0822955213769307","2.0772580203038764","2.0772580203038764","2.0772580203038764","2.076790777907279","2.076790777907279","2.076790777907279"
